Episode 1	 Total Reward: 1.10	 Steps: 2
Episode 2	 Total Reward: -0.26	 Steps: 1
Episode 3	 Total Reward: 2.69	 Steps: 3
Episode 4	 Total Reward: 2.84	 Steps: 3
Episode 5	 Total Reward: -0.11	 Steps: 0
Episode 6	 Total Reward: -1.33	 Steps: 2
Episode 7	 Total Reward: -1.06	 Steps: 1
Episode 8	 Total Reward: -1.74	 Steps: 10
Episode 9	 Total Reward: -0.12	 Steps: 2
Episode 10	 Total Reward: -0.11	 Steps: 0
Episode 11	 Total Reward: -0.11	 Steps: 0
Episode 12	 Total Reward: -0.11	 Steps: 0
Episode 13	 Total Reward: -0.83	 Steps: 3
Episode 14	 Total Reward: -0.58	 Steps: 1
Episode 15	 Total Reward: 0.34	 Steps: 4
Episode 16	 Total Reward: 6.28	 Steps: 6
Episode 17	 Total Reward: -2.12	 Steps: 4
Episode 18	 Total Reward: 0.13	 Steps: 4
Episode 19	 Total Reward: 0.71	 Steps: 1
Episode 20	 Total Reward: -2.37	 Steps: 16
Episode 21	 Total Reward: -1.08	 Steps: 1
Episode 22	 Total Reward: -1.01	 Steps: 1
Episode 23	 Total Reward: -0.23	 Steps: 2
Episode 24	 Total Reward: 0.11	 Steps: 4
Episode 25	 Total Reward: -0.05	 Steps: 2
Episode 26	 Total Reward: -0.11	 Steps: 0
Episode 27	 Total Reward: 1.72	 Steps: 4
Episode 28	 Total Reward: 2.03	 Steps: 7
Episode 29	 Total Reward: -0.24	 Steps: 1
Episode 30	 Total Reward: -1.80	 Steps: 10
Episode 31	 Total Reward: -0.11	 Steps: 0
Episode 32	 Total Reward: -0.11	 Steps: 0
Episode 33	 Total Reward: -0.11	 Steps: 0
Episode 34	 Total Reward: -0.11	 Steps: 0
Episode 35	 Total Reward: 1.37	 Steps: 1
Episode 36	 Total Reward: -1.16	 Steps: 3
Episode 37	 Total Reward: 0.17	 Steps: 1
Episode 38	 Total Reward: -0.11	 Steps: 0
Episode 39	 Total Reward: 2.00	 Steps: 4
Episode 40	 Total Reward: 0.54	 Steps: 4
Episode 41	 Total Reward: 1.06	 Steps: 5
Episode 42	 Total Reward: -0.11	 Steps: 0
Episode 43	 Total Reward: -0.11	 Steps: 0
Episode 44	 Total Reward: 1.45	 Steps: 11
Episode 45	 Total Reward: -0.11	 Steps: 0
Episode 46	 Total Reward: 1.12	 Steps: 3
Episode 47	 Total Reward: -0.11	 Steps: 0
Episode 48	 Total Reward: 0.83	 Steps: 6
Episode 49	 Total Reward: 0.83	 Steps: 36
Episode 50	 Total Reward: -0.44	 Steps: 4
Episode 51	 Total Reward: -1.26	 Steps: 1
Episode 52	 Total Reward: 1.40	 Steps: 1
Episode 53	 Total Reward: -1.34	 Steps: 7
Episode 54	 Total Reward: -4.22	 Steps: 6
Episode 55	 Total Reward: -0.66	 Steps: 2
Episode 56	 Total Reward: 1.98	 Steps: 1
Episode 57	 Total Reward: -3.14	 Steps: 11
Episode 58	 Total Reward: -0.11	 Steps: 0
Episode 59	 Total Reward: -0.27	 Steps: 3
Episode 60	 Total Reward: -0.98	 Steps: 3
Episode 61	 Total Reward: -0.10	 Steps: 12
Episode 62	 Total Reward: -1.63	 Steps: 6
Episode 63	 Total Reward: -0.98	 Steps: 3
Episode 64	 Total Reward: -0.10	 Steps: 12
Episode 65	 Total Reward: 0.87	 Steps: 1
Episode 66	 Total Reward: -0.11	 Steps: 0
Episode 67	 Total Reward: -0.30	 Steps: 5
Episode 68	 Total Reward: -0.62	 Steps: 2
Episode 69	 Total Reward: -0.11	 Steps: 0
Episode 70	 Total Reward: -0.33	 Steps: 12
Episode 71	 Total Reward: 1.25	 Steps: 1
Episode 72	 Total Reward: 1.78	 Steps: 1
Episode 73	 Total Reward: -0.60	 Steps: 6
Episode 74	 Total Reward: -1.22	 Steps: 1
